date,hour,power_kw,plant_capacity_kw,error_pct
2026-07-20,17:00,0.61,6.0,89.83
2026-07-20,18:00,0.32,6.0,94.67
2026-07-21,07:00,0.85,6.0,85.83
2026-07-21,08:00,0.93,6.0,84.5
2026-07-21,09:00,0.95,6.0,84.17
2026-07-21,10:00,1.16,6.0,80.67
2026-07-21,11:00,2.32,6.0,61.33
2026-07-21,12:00,2.77,6.0,53.83
2026-07-21,13:00,2.05,6.0,65.83
2026-07-21,14:00,3.15,6.0,47.5
2026-07-21,15:00,0.47,6.0,92.17
2026-07-21,16:00,0.39,6.0,93.5
2026-07-21,17:00,0.31,6.0,94.83
2026-07-21,18:00,0.0,6.0,100.0
2026-07-22,07:00,0.7,6.0,88.33
2026-07-22,08:00,0.98,6.0,83.67
2026-07-22,09:00,1.18,6.0,80.33
2026-07-22,10:00,4.81,6.0,19.83
2026-07-22,11:00,3.66,6.0,39.0
2026-07-22,12:00,2.37,6.0,60.5
2026-07-22,13:00,5.7,6.0,5.0
2026-07-22,14:00,5.18,6.0,13.67
2026-07-22,15:00,1.39,6.0,76.83
2026-07-22,16:00,1.59,6.0,73.5
2026-07-22,17:00,1.83,6.0,69.5
2026-07-22,18:00,0.53,6.0,91.17
2026-07-23,07:00,0.0,6.0,100.0
2026-07-23,08:00,0.0,6.0,100.0
2026-07-23,09:00,1.96,6.0,67.33
2026-07-23,10:00,1.33,6.0,77.83
2026-07-23,11:00,5.49,6.0,8.5
2026-07-23,12:00,3.39,6.0,43.5
2026-07-23,13:00,2.65,6.0,55.83
2026-07-23,14:00,2.65,6.0,55.83
2026-07-23,15:00,2.09,6.0,65.17
2026-07-23,16:00,1.57,6.0,73.83
2026-07-23,17:00,0.72,6.0,88.0
2026-07-23,18:00,0.2,6.0,96.67
2026-07-24,07:00,0.43,6.0,92.83
2026-07-24,08:00,1.6,6.0,73.33
2026-07-24,09:00,1.54,6.0,74.33
2026-07-24,10:00,2.2,6.0,63.33
2026-07-24,11:00,5.53,6.0,7.83
2026-07-24,12:00,0.0,6.0,100.0
2026-07-24,13:00,0.0,6.0,100.0
2026-07-24,14:00,1.36,6.0,77.33
2026-07-24,15:00,1.69,6.0,71.83
2026-07-24,16:00,4.02,6.0,33.0
2026-07-24,17:00,2.02,6.0,66.33
2026-07-24,18:00,0.21,6.0,96.5
2026-07-25,07:00,0.49,6.0,91.83
2026-07-25,08:00,2.14,6.0,64.33
2026-07-25,09:00,3.6,6.0,40.0
2026-07-25,10:00,1.68,6.0,72.0
2026-07-25,11:00,1.33,6.0,77.83
2026-07-25,12:00,0.88,6.0,85.33
2026-07-25,13:00,5.8,6.0,3.33
2026-07-25,14:00,0.58,6.0,90.33
2026-07-25,15:00,5.4,6.0,10.0
2026-07-25,16:00,1.9,6.0,68.33
2026-07-25,17:00,1.75,6.0,70.83
2026-07-25,18:00,0.55,6.0,90.83
